x	y	Sample	Subpopulation	Subgroup
1	14.9192417012303	-14.8877395859008	753	GP4-B1	GP4
2	-7.97635158716492	11.7278799477977	753	GP4-C1	GP4
3	6.79913007542803	-19.3566310490745	753	GP4-B2	GP4
4	1.15276653112583	5.42349801829819	753	GP4-A2	GP4
5	-6.50565721613359	13.4342094297406	753	GP4-C1	GP4
6	-4.10208806545221	20.8063594047074	753	GP4-C1	GP4
7	7.98211086944406	-10.4774767749611	753	GP4-A1	GP4
8	16.110752326355	-14.8350491542264	753	GP4-B1	GP4
9	12.2003122211536	-9.75238074499308	753	GP4-B2	GP4
10	17.0684745641572	-17.4708259342946	753	GP4-B1	GP4
11	14.5166340419622	-14.8303513331243	753	GP4-B1	GP4
12	24.7592998065182	2.24125782719481	753	GP4-C2	GP4
13	-8.19710967150886	5.05589576391645	753	GP4-C1	GP4
14	11.0388860569867	-15.9389326126994	753	GP4-B2	GP4
15	12.9710235468817	-5.52257101661032	753	GP4-B1	GP4
16	-8.56645192564317	7.52091142371434	753	GP4-C1	GP4
17	-2.93802608715879	-27.010488920354	753	GP4-A1	GP4
18	19.8178153405219	-12.460966230261	753	GP4-A1	GP4
19	14.1698554057553	-10.3445859820467	753	GP4-B1	GP4
20	5.55425462824981	3.39947716387571	753	GP4-B1	GP4
21	10.2148305736011	-6.05899801053319	753	GP4-B2	GP4
22	15.3509970716241	-13.2032583710241	753	GP4-B1	GP4
23	16.9892163125272	-12.9847729805555	753	GP4-C2	GP4
24	-2.32943664681516	-0.821738584928374	753	GP4-B2	GP4
25	-6.0335028250555	23.4493590286659	753	GP4-C1	GP4
26	19.0759038312184	-6.01071521754294	753	GP4-B1	GP4
27	15.9276923671224	-9.9658333054208	753	GP4-B2	GP4
28	11.6778993414129	-10.2785376812615	753	GP4-B2	GP4
29	1.49739662643043	16.424201071786	753	GP4-C1	GP4
30	10.1077307305178	-15.6779046385706	753	GP4-B2	GP4
31	13.3160557501975	-9.44958810250325	753	GP4-B2	GP4
32	8.21363536213515	-17.6273154867181	753	GP4-B1	GP4
33	6.4314225355899	-11.7926003411642	753	GP4-B2	GP4
34	-9.56141583684397	8.83779083815331	753	GP4-C1	GP4
35	8.65954249756362	-6.22043373079274	753	GP4-B1	GP4
36	15.9692899337752	-13.7252759501058	753	GP4-B1	GP4
37	-8.67372129037978	14.3414958331403	753	GP4-C1	GP4
38	-2.55570384386977	23.2464739998988	753	GP4-A2	GP4
39	15.3581615945607	-12.3766723499733	753	GP4-B1	GP4
40	17.1246717378243	-11.616975942211	753	GP4-B1	GP4
41	13.5494030874767	-6.24288153623694	753	GP4-B2	GP4
42	13.7544092129981	-15.1350371022422	753	GP4-B2	GP4
43	17.3917679867543	-17.7089793786984	753	GP4-B1	GP4
44	12.1086587164209	-2.68109227946699	753	GP4-C1	GP4
45	-2.90789153106826	28.5329721555042	753	GP4-C1	GP4
46	17.842546857737	-8.92570345347544	753	GP4-B1	GP4
47	11.68337359975	-6.38920256415351	753	GP4-B1	GP4
48	-4.65069786570102	28.3011552455642	753	GP4-C1	GP4
49	-10.3848197873734	29.5850606931495	753	GP4-C1	GP4
50	16.1655438568806	-14.0511402595824	753	GP4-B1	GP4
51	-12.138616224754	21.6694447739558	753	GP4-C1	GP4
52	18.5405042346637	-21.1983908611062	753	GP4-A1	GP4
53	-8.6013693438752	17.8008252317903	753	GP4-C1	GP4
54	-10.0899283333871	22.782547955179	753	GP4-C1	GP4
55	5.29487333736218	3.76139467949782	753	GP4-B2	GP4
56	11.2362154745574	-4.70765753441689	753	GP4-B1	GP4
57	14.6460970065287	-12.8264838484351	753	GP4-A1	GP4
58	-10.2715940236339	22.6600818739129	753	GP4-C1	GP4
59	-9.64979588729606	21.0908536519764	753	GP4-C1	GP4
60	9.4428660636927	-4.89197867357055	753	GP4-C1	GP4
61	0.689401929093803	1.24957566803677	753	GP4-B1	GP4
62	4.24076179376552	27.2782804897794	753	GP4-C1	GP4
63	16.1640774377423	-14.5031012807355	753	GP4-B1	GP4
64	11.6719926754172	-15.9647474539218	753	GP4-B2	GP4
65	12.1559229670792	-9.37972417283425	753	GP4-B2	GP4
66	16.4663646883613	-10.651978518298	753	GP4-B1	GP4
67	15.9624698563456	-14.4550283103843	753	GP4-B1	GP4
68	13.782685468596	-9.48157976145531	753	GP4-B2	GP4
69	6.31519790981838	-4.6276098242157	753	GP4-A1	GP4
70	-8.89474922352867	13.0436269547211	753	GP4-C1	GP4
71	-8.42680165234471	21.6294372998023	753	GP4-C1	GP4
72	-8.39376989608889	11.8042940295051	753	GP4-C1	GP4
73	10.0980522996513	-4.16231018818064	753	GP4-B2	GP4
74	0.862201986936834	4.85396169085869	753	GP4-A2	GP4
75	14.5488918292545	-16.3157410503167	753	GP4-B1	GP4
76	18.8902475246794	-12.7704782998513	753	GP4-A1	GP4
77	11.0782730478255	-6.10333277969051	753	GP4-B2	GP4
78	14.0690410223848	-7.71192792299078	753	GP4-B2	GP4
79	17.5455063951748	-17.7946497155704	753	GP4-B1	GP4
80	9.16775404404849	-5.36957729414134	753	GP4-B1	GP4
81	-3.99830946833753	15.3681798448944	753	GP4-A2	GP4
82	-11.2983387182578	25.2484405230267	753	GP4-C1	GP4
83	5.33794916826392	-14.9252591438986	753	GP4-B2	GP4
84	17.6723783622786	-22.5408169342521	753	GP4-A1	GP4
85	-11.2098350174162	3.0150247391441	753	GP4-C1	GP4
86	12.741146902994	-8.95264224857223	753	GP4-B2	GP4
87	-7.23338881757374	24.640638630461	753	GP4-C1	GP4
